Date,Open,High,Low,Close,Adj Close,Volume
16/7/2001,7.7999,7.801,7.7985,7.8001,7.8001,0
17/7/2001,7.7999,7.801,7.7988,7.7997,7.7997,0
18/7/2001,7.7997,7.8009,7.7988,7.7999,7.7999,0
19/7/2001,7.7999,7.8009,7.7988,7.7999,7.7999,0
20/7/2001,7.7999,7.8009,7.7988,7.7997,7.7997,0
23/7/2001,7.7997,7.8008,7.7985,7.7997,7.7997,0
24/7/2001,7.7999,7.8009,7.7985,7.7997,7.7997,0
25/7/2001,7.7998,7.8009,7.7986,7.7999,7.7999,0
26/7/2001,7.7997,7.8018,7.798,7.7997,7.7997,0
27/7/2001,7.7997,7.8009,7.7986,7.7997,7.7997,0
30/7/2001,7.7997,7.8008,7.7986,7.7997,7.7997,0
31/7/2001,7.7997,7.8008,7.7984,7.7997,7.7997,0
1/8/2001,7.7997,7.8008,7.7984,7.7996,7.7996,0
2/8/2001,7.7994,7.8007,7.7982,7.7995,7.7995,0
3/8/2001,7.7995,7.8003,7.7982,7.7991,7.7991,0
6/8/2001,7.7995,7.8005,7.7979,7.7989,7.7989,0
7/8/2001,7.7991,7.8003,7.7979,7.7991,7.7991,0
8/8/2001,7.7993,7.8006,7.798,7.7997,7.7997,0
9/8/2001,7.7997,7.8006,7.7985,7.7997,7.7997,0
10/8/2001,7.7997,7.8008,7.7982,7.7995,7.7995,0
13/8/2001,7.7995,7.8002,7.7982,7.7995,7.7995,0
14/8/2001,7.7997,7.8008,7.7982,7.7997,7.7997,0
15/8/2001,7.7999,7.8008,7.7985,7.7997,7.7997,0
16/8/2001,7.7997,7.8009,7.798,7.7999,7.7999,0
17/8/2001,7.7997,7.8009,7.7985,7.7999,7.7999,0
20/8/2001,7.7998,7.8008,7.7985,7.7999,7.7999,0
21/8/2001,7.7998,7.801,7.7985,7.7999,7.7999,0
22/8/2001,7.8001,7.8012,7.7988,7.7997,7.7997,0
23/8/2001,7.7998,7.801,7.7987,7.7997,7.7997,0
24/8/2001,7.7998,7.8009,7.7988,7.7999,7.7999,0
27/8/2001,7.8002,7.8012,7.7984,7.7999,7.7999,0
28/8/2001,7.7999,7.8009,7.7984,7.7999,7.7999,0
29/8/2001,7.7998,7.8009,7.7985,7.7999,7.7999,0
30/8/2001,7.7999,7.8009,7.7984,7.7999,7.7999,0
31/8/2001,7.7998,7.8011,7.7984,7.7998,7.7998,0
3/9/2001,7.7999,7.801,7.7988,7.7999,7.7999,0
4/9/2001,7.7998,7.8008,7.7985,7.7999,7.7999,0
5/9/2001,7.7997,7.8008,7.7988,7.7999,7.7999,0
6/9/2001,7.7999,7.8009,7.7967,7.7999,7.7999,0
7/9/2001,7.7999,7.8009,7.7985,7.7999,7.7999,0
10/9/2001,7.7998,7.8009,7.7986,7.8,7.8,0
11/9/2001,7.7999,7.804,7.7957,7.7998,7.7998,0
12/9/2001,7.799,7.8031,7.7948,7.7989,7.7989,0
13/9/2001,7.7996,7.8008,7.798,7.7997,7.7997,0
14/9/2001,7.7999,7.8009,7.7987,7.7999,7.7999,0
